Key,Id,English(en),Chinese (Simplified)(zh-Hans)
"GameTitle",146874990592,"Wu Xing Combinator","五行混搭师"
"StartButton",1954435465216,"Start","开始游戏"
"SettingButton",2201727434752,"Setting","设置"
"Collection",2306907996160,"Collection","收藏"
"Exit",2471584759808,"Exit","退出游戏"
"Audio Settings",38453394702336,"Audio Settings","音频设置"
"Language Settings",38579865550848,"Language Settings","语言设置"
"high",38701009633280,"high","高"
"low",38792575483904,"low","低"
"Master Volume",38878214782976,"Master Volume","主音量"
"Sound Effects",38978425094144,"Sound Effects","音效"
"Background Music",39045500403712,"Background Music","背景音乐"
"Interface Music",39341257555968,"Interface Music","界面音乐"
"Language",39588360781824,"Language","语言"
